High,Volume,Low,Date,Close,Market Cap,Open,Name
0.007377,"2,019,560",0.00726,10/08/16,0.00731,"261,504,000",0.007371,Ripple
0.007459,"3,042,600",0.00735,10/07/16,0.007377,"261,722,000",0.007377,Ripple
0.00746,"2,826,190",0.007321,10/06/16,0.007382,"263,560,000",0.007429,Ripple
0.007895,"4,840,340",0.007407,10/05/16,0.007435,"279,308,000",0.007873,Ripple
0.008132,"2,642,950",0.007853,10/04/16,0.007853,"287,883,000",0.008115,Ripple
0.008241,"2,776,300",0.008065,10/03/16,0.008089,"289,639,000",0.008165,Ripple
0.008316,"2,072,840",0.008084,10/02/16,0.008165,"290,783,000",0.008197,Ripple
0.008848,"5,895,530",0.008186,10/01/16,0.008205,"313,570,000",0.008839,Ripple
0.00924,"7,561,150",0.008789,09/30/16,0.00883,"316,085,000",0.00891,Ripple
0.00909,"5,974,090",0.008707,09/29/16,0.008914,"321,424,000",0.009065,Ripple
0.009082,"7,558,520",0.00822,09/28/16,0.009048,"291,479,000",0.00822,Ripple
0.008306,"6,131,430",0.007919,09/27/16,0.008229,"282,218,000",0.007959,Ripple
0.008593,"9,102,940",0.007847,09/26/16,0.007963,"279,129,000",0.007872,Ripple
0.007986,"4,699,860",0.007316,09/25/16,0.007855,"260,832,000",0.007356,Ripple
0.007424,"2,170,050",0.00717,09/24/16,0.007362,"256,511,000",0.007234,Ripple
0.0073,"3,104,540",0.006807,09/23/16,0.007211,"242,812,000",0.006848,Ripple
0.006986,"1,491,330",0.006809,09/22/16,0.006843,"242,293,000",0.006833,Ripple
0.006908,"1,719,470",0.006709,09/21/16,0.006829,"241,444,000",0.006809,Ripple
0.006911,"1,365,440",0.006748,09/20/16,0.006785,"243,406,000",0.006865,Ripple
0.007178,"2,930,120",0.006795,09/19/16,0.006858,"243,070,000",0.006855,Ripple
0.007019,"2,231,350",0.006788,09/18/16,0.006853,"248,819,000",0.007017,Ripple
0.007535,"1,646,260",0.006998,09/17/16,0.007018,"262,064,000",0.007391,Ripple
0.008333,"12,342,800",0.0072,09/16/16,0.007446,"293,807,000",0.008286,Ripple
0.008765,"15,967,600",0.005953,09/15/16,0.008303,"210,808,000",0.005969,Ripple
0.006042,"1,048,560",0.005881,09/14/16,0.005961,"207,934,000",0.005888,Ripple
0.005905,"836,942",0.005871,09/13/16,0.005886,"208,335,000",0.005899,Ripple
0.005912,"680,932",0.005837,09/12/16,0.005897,"206,386,000",0.005844,Ripple
0.005895,"533,904",0.005815,09/11/16,0.005842,"207,186,000",0.005866,Ripple
0.005882,"310,034",0.005859,09/10/16,0.00587,"207,375,000",0.005872,Ripple
0.005907,"849,260",0.005857,09/09/16,0.005869,"208,415,000",0.005901,Ripple
0.005941,"869,389",0.005892,09/08/16,0.005902,"208,088,000",0.005892,Ripple
0.005925,"686,254",0.005888,09/07/16,0.005892,"208,893,000",0.005915,Ripple
0.005955,"773,525",0.0059,09/06/16,0.005912,"209,545,000",0.005933,Ripple
0.005966,"784,460",0.005889,09/05/16,0.005932,"210,058,000",0.005948,Ripple
0.006002,"800,373",0.005905,09/04/16,0.005954,"210,644,000",0.005964,Ripple
0.005992,"698,318",0.005928,09/03/16,0.005964,"210,725,000",0.005967,Ripple
0.005985,"583,636",0.005959,09/02/16,0.00597,"211,170,000",0.005979,Ripple
0.00603,"660,021",0.00598,09/01/16,0.005984,"213,837,000",0.006013,Ripple
0.006045,"1,169,040",0.005915,08/31/16,0.006012,"214,671,000",0.006036,Ripple
0.006129,"928,043",0.006006,08/30/16,0.006026,"217,656,000",0.00612,Ripple
0.00614,"1,527,760",0.005938,08/29/16,0.006131,"211,999,000",0.005961,Ripple
0.006001,"592,108",0.005955,08/28/16,0.005963,"212,447,000",0.005974,Ripple
0.006042,"233,262",0.005971,08/27/16,0.005975,"214,005,000",0.006018,Ripple
0.006097,"578,722",0.006019,08/26/16,0.00603,"216,329,000",0.006083,Ripple
0.006085,"716,326",0.006028,08/25/16,0.006079,"215,106,000",0.006049,Ripple
0.006059,"1,118,660",0.005989,08/24/16,0.006052,"213,912,000",0.006015,Ripple
0.006054,"979,256",0.00596,08/23/16,0.006019,"213,430,000",0.006002,Ripple
0.006072,"686,434",0.005883,08/22/16,0.006,"215,346,000",0.006055,Ripple
0.006117,"411,952",0.006012,08/21/16,0.006052,"217,500,000",0.006116,Ripple
0.006148,"399,635",0.006085,08/20/16,0.006114,"217,849,000",0.006126,Ripple
0.006199,"1,356,390",0.006093,08/19/16,0.006119,"217,641,000",0.00612,Ripple
0.006123,"1,080,170",0.006044,08/18/16,0.006122,"216,891,000",0.0061,Ripple
0.006158,"1,352,830",0.006099,08/17/16,0.006109,"218,481,000",0.006144,Ripple
0.006188,"1,249,860",0.00603,08/16/16,0.00614,"214,957,000",0.006045,Ripple
0.006062,"488,337",0.005969,08/15/16,0.006045,"213,098,000",0.005993,Ripple
0.006093,"499,048",0.005968,08/14/16,0.005994,"216,630,000",0.006092,Ripple
0.006141,"602,600",0.00608,08/13/16,0.006092,"217,594,000",0.006119,Ripple
0.006189,"646,843",0.006101,08/12/16,0.006123,"220,047,000",0.006188,Ripple
0.006217,"407,711",0.006162,08/11/16,0.006189,"220,318,000",0.006196,Ripple
